id,name,genre,artists,album,popularity,duration_ms,explicit,genre_id,artists_id,album_id,duration_s
74BSVo5XxxlOOWKstr8doF,Punk,punk,Ferry Corsten,Ferry Corsten Collected,0.37777777777777777,219133,0,92,1407,1417,0.23939321424004278
0hQyFpC8af9Dj89fEYkXPG,ghost in my guitar (feat. Chris Stapleton),guitar,"Alana Springsteen, Chris Stapleton",TWENTY SOMETHING,0.7444444444444445,200893,0,46,178,3977,0.21629878918866907
35gFVyd6BvCmjpyuueMRkQ,We Built This City - Acoustic,acoustic,Ben Weighill,We Built This City (Acoustic),0.2777777777777778,161777,0,0,451,4565,0.16677238950064632
19yBnOUQzlUfNGCCRSAsxF,The Masochism Tango,tango,Tom Lehrer,More of Tom Lehrer,0.4444444444444445,183146,0,119,4060,2690,0.19382857200737907
2QljG0yMEn8ZOu5PyKJoro,When You Wish Upon a Star,pop-film,Lily's Corner,Magical Fairytale Lullabies (Children's Animated Film Classics and Other Popular Songs for Harp),0.4444444444444445,150367,0,87,2301,2526,0.15232571242629472
3CKspKxhwvyi7OyADIKF9a,Indie Kids,indie,"CECI, Lords of Lounge",Indie Kids,0.2777777777777778,265881,0,58,646,2082,0.2985828075679823
3pRCHHfwYNVCOjWSrkGNw1,Burning Down the House,new-release,Paramore,Burning Down the House,0.6333333333333333,218093,0,80,2989,634,0.23807642684676267
6giuyPKBoWyDwKpECpxm2l,Industrial Fluids,industrial,despite others,Industrial Fluids,0.12222222222222223,445349,0,60,4473,2092,0.5258147305460489
723keHhbyPlh9sWWSCNsU0,Alternative to Love,alternative,Brendan Benson,The Alternative to Love,0.07777777777777778,275960,0,3,595,4053,0.3113442500072803
6EmZb3bivxqrUsOgix6pP2,ALTERNATIVE REALITY,alternative,"MoonDeity, Phonk Killer",VOICE OF THE SOUL,0.2,149192,1,3,2709,4465,0.1508379959002331
4t1otCNMdzJNx2XTdPC0bL,The Soundtrack...,soundtracks,Cage,Movies For The Blind,0.12222222222222223,177600,1,113,668,2723,0.1868065500043682
025BmVuqtXMCRUeOcJNE5c,Dublin Thunder,dub,Beautiful Plan,I Sleep to the Sound of Thunder,0.6111111111111112,204671,0,29,430,2000,0.22108227262310381
3xyXfeL1jGtDugtFsZ33au,Pagode em Bras!lia,pagode,Tião Carreiro & Pardinho,Dose Dupla,0.5666666666666667,177173,0,82,4045,1145,0.18626590748808874
24KOm6f014u1lN5hdONqCb,Indian War Whoop,indian,John Hartford,"O Brother, Where Art Thou? (Original Motion Picture Soundtrack)",0.37777777777777777,90426,0,57,1961,2886,0.07643191132956277
0mlVuG4CCk8kw23xkPIjJr,House Grooves,deep-house,Deep House,Chillout Mix,0.11111111111111112,120000,0,24,1045,762,0.11387678668424071
08Yc1KnIpFZ5QMpxENH8Ja,Rondo Alla Turca (Turkish March),turkish,Brain Power Amadeus,Mozart Effect,0.4666666666666667,182044,0,123,579,2726,0.19243328382719194
6cgNepy5s6WoIDTsAGzsAS,Salsa,salsa,Hamdi,"Cuba, Pt. 2",0.12222222222222223,192004,0,104,1665,916,0.20504405540129728
57jnmmxd8e1g2daaGsVfPY,German,german,Reesesupercharged,Foreign,0.0,177263,0,40,3262,1482,0.18637986024327646
5bS3tVEOQ62Tn6ilUlJ2dB,Honkytonk U,honky-tonk,Toby Keith,Toby Keith 35 Biggest Hits,0.33333333333333337,214106,0,54,4052,4321,0.2330283197919476
7xF6SSfTW1smhbyAlJ6ecd,Afrobeat - Radio Mix,afrobeat,Simon Le Grec,Afrobeat,0.0,229403,0,1,3532,173,0.2523964897486835
27IRo2rYeizhRMDaNVplNM,Hook,blues,Blues Traveler,Four,0.6222222222222222,289200,0,8,541,1501,0.32810796643711515
6k90ibcH1z8Mx9684nfuLW,お勉強しといてよ,study,ZUTOMAYO,お勉強しといてよ,0.5111111111111112,280720,0,115,4405,4882,0.3173710846149853
4hSnduLsZ7sDBxaBzxkNFT,Mala buena suerte,latin,LATIN MAFIA,Mala buena suerte,0.6777777777777778,165333,0,69,2188,2536,0.1712747894722848
0S2oq25O61zqlWrxMv5lGu,Ismael,idm,Grupo Arriesgado,Que Las Cuartitos No Falten,0.5555555555555556,136764,0,56,1610,3211,0.13510238655053614
7a2wL9caPBno1QazC8v5dE,"French Suite No. 4 in E-Flat Major, BWV 815a: I. Praeludium",french,"Johann Sebastian Bach, Angela Hewitt",Bach & Friends,0.15555555555555556,83373,0,37,1956,380,0.06750181374802007
6PqZkFSv7Iqec6nvDcHgeW,你知道我在等你嗎?,mandopop,張洪量,心愛妹妹的眼睛,0.4222222222222222,252066,0,72,4632,4910,0.2810910596466705
2KUtgRHdkBZfXWdd0Xw0QU,MY NEIGHBOR TOTORO - BossaNova version,bossanova,Cafe Music BGM channel,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,0.43333333333333335,277586,0,9,667,639,0.3134029964510048
6V5MLoxnkO0DcCj2PawmBf,Comedy,comedy,Will Stetson,Will Stetson's Summer 2022 Collection,0.2888888888888889,231081,0,19,4285,4632,0.254521075562072
6uW03WHG3qv2FzxPIW6SUP,The Gospel Truth I / Main Titles - Hercules,gospel,"Cheryl Freeman, LaChanze, Vaneese Thomas, Lillias White, Roz Ryan, Disney",Hercules (Original Motion Picture Soundtrack),0.6,145640,0,41,752,1865,0.14634066049549188
5fJ9reRZCwq1ezsi9w4CdF,Out of the blue,cantopop,Nancy Kwai,Out of the blue,0.4222222222222222,206978,0,13,2785,2970,0.22400326158108186
4F7A0DXBrmUAkp32uenhZt,Party Monster,party,The Weeknd,Starboy,0.8,249213,1,83,3992,3788,0.27747875730722044
05NYcsjJwOYq4jIiKPVj9p,Hard To Handle,hard-rock,The Black Crowes,Shake Your Money Maker,0.7000000000000001,188066,0,48,3841,3588,0.2000579892909733
1dlgaGdQXmsYKMRuewIZkF,Miss Alissa,death-metal,Eagles Of Death Metal,Peace Love Death Metal,0.5333333333333333,158600,0,23,1228,3042,0.16274985724252056
0QrjkDvH06SKE8LXq3VTA3,Hard Rock Bottom of Your Heart,hard-rock,Randy Travis,On the Other Hand - All the Number Ones,0.4222222222222222,237013,0,48,3226,2916,0.2620318282706657
3LBBeej1zGctWlJNpNa4I6,Hip Hop Kids,hip-hop,Portugal. The Man,Evil Friends,0.3888888888888889,207786,1,52,3111,1335,0.2250263040943225
2yznCtRe17qmCJabW2hESV,Detroit & Techno,detroit-techno,MGI,Mini,0.05555555555555556,64347,0,25,2446,2651,0.04341220130134045
1MqV4bv07MivBXe9GFZv4E,french,french,They Are Gutting a Body of Water,Destiny XL,0.2555555555555556,163813,0,37,4011,1062,0.16935025405133697
6kJ86Zi4x1LY9KEdjQA5S2,Rock Billy Boogie,rockabilly,Robert Gordon,Rock Billy Boogie,0.3666666666666667,153333,0,101,3315,3393,0.15608108878059157
5fp6m6Zo4LetiWaMMrPjy5,Dreamscape,trance,009 Sound System,009 Sound System,0.48888888888888893,277489,0,121,7,17,0.31328018070374686
0NTgh92IHKjOtYgLfKAz0D,Pagode,pagode,Wet Bed Gang,Filhos do Rossi,0.34444444444444444,217400,0,82,4264,1422,0.23719899063181737
46wguvS6Fm3d366vBPcYwj,Punishment,grindcore,"Jarhead Fertilizer, Purge",Always Faithful,0.22222222222222224,69422,0,43,1876,227,0.04983787055220239
